date,year,month,ym,sido_name,y_hat,base_daily,w_today,y_day_hat,risk_score,risk_level
2024-01-01,2024,1,2024-01,세종,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-02-01,2024,2,2024-02,세종,2351.5980852932344,81.08958914804256,1.2,97.30750697765107,100.0,Very High
2024-03-01,2024,3,2024-03,세종,1434.7887012663634,46.28350649246334,1.0,46.28350649246334,17.99097569835622,Low
2024-04-01,2024,4,2024-04,세종,1699.3188211381023,56.64396070460341,1.0,56.64396070460341,36.42895864494167,Moderate
2024-05-01,2024,5,2024-05,세종,1699.3188211381023,54.81673616574523,1.0,54.81673616574523,33.177138387141376,Moderate
2024-06-01,2024,6,2024-06,세종,1699.3188211381023,56.64396070460341,0.9,50.97956463414307,26.34831584576075,Moderate
2024-07-01,2024,7,2024-07,세종,1121.4011091783173,36.174229328332814,0.9,32.556806395499535,0.0,Low
2024-08-01,2024,8,2024-08,세종,1434.7887012663634,46.28350649246334,0.9,41.655155843217,9.754131193833844,Low
2024-09-01,2024,9,2024-09,세종,1699.3188211381023,56.64396070460341,0.95,53.81176266937324,31.38863724535121,Moderate
2024-10-01,2024,10,2024-10,세종,1434.7887012663634,46.28350649246334,0.95,43.96933116784017,13.872553446095026,Low
2024-11-01,2024,11,2024-11,세종,1699.3188211381023,56.64396070460341,0.95,53.81176266937324,31.38863724535121,Moderate
2024-12-01,2024,12,2024-12,세종,2351.5980852932344,75.85800275139465,1.2,91.02960330167357,97.62336951056352,Very High
