date,year,month,ym,sido_name,y_hat,base_daily,w_today,y_day_hat,risk_score,risk_level
2024-01-01,2024,1,2024-01,강원,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
2024-02-01,2024,2,2024-02,강원,2863.3165969341007,98.73505506669314,1.2,118.48206608003176,100.0,Very High
2024-03-01,2024,3,2024-03,강원,2351.5980852932344,75.85800275139465,1.0,75.85800275139465,70.6232297009917,High
2024-04-01,2024,4,2024-04,강원,2863.3165969341007,95.44388656447002,1.0,95.44388656447002,100.0,Very High
2024-05-01,2024,5,2024-05,강원,2863.3165969341007,92.36505151400326,1.0,92.36505151400326,100.0,Very High
2024-06-01,2024,6,2024-06,강원,1794.5845749380344,59.81948583126781,0.9,53.83753724814103,31.434506975967768,Moderate
2024-07-01,2024,7,2024-07,강원,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-08-01,2024,8,2024-08,강원,1794.5845749380344,57.88982499800111,0.9,52.100842498201,28.34379806232792,Moderate
2024-09-01,2024,9,2024-09,강원,2336.032410221535,77.8677470073845,0.95,73.97435965701527,67.27100415754744,High
2024-10-01,2024,10,2024-10,강원,2351.5980852932344,75.85800275139465,0.95,72.06510261382492,63.873194748598735,High
2024-11-01,2024,11,2024-11,강원,2863.3165969341007,95.44388656447002,0.95,90.67169223624651,96.98641306197406,Very High
2024-12-01,2024,12,2024-12,강원,2863.3165969341007,92.36505151400326,1.2,110.8380618168039,100.0,Very High
